"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009897","external side of plasma membrane","157/4332","393/19717",3.93957027610501e-16,2.99801298011591e-13,2.2808038440608e-13,"3675/974/928/920/923/972/11119/3604/8692/2213/4162/5788/4036/3682/966/2683/5027/3902/2323/4897/3568/7018/3594/3560/958/51311/959/2208/10859/9466/10148/973/945/7472/7036/657/5023/921/969/10384/9308/1235/11120/3593/942/11148/914/356/1441/29126/3762/941/729230/7852/5340/51744/3598/10385/54718/696/1236/3543/3559/3824/8482/4283/2028/939/57007/79054/1238/2044/3561/3688/10666/925/931/8764/912/909/911/910/913/2207/115650/3689/917/643/3570/1234/149233/1493/29851/131450/1230/308/117531/567/915/1524/2675/8754/3575/3627/64805/84168/3684/2266/2243/2244/5621/10663/1605/2829/10803/57493/6403/57124/2015/930/283316/940/811/1003/1237/2147/343413/6517/10159/1232/1233/2811/5034/3916/11118/2833/7293/4059/5133/7442/100/80380/1438/916/2214/56244/4277/3107/3133/3135/3134/3105/22914/100528032/7124/3106/100423062",157
"GO:0030667","secretory granule membrane","120/4332","298/19717",6.18671351360419e-13,2.35404449192639e-10,1.79089075393806e-10,"952/3683/221/928/7305/6556/7133/535/5874/1535/23200/387/8514/6793/6717/7879/27074/26002/5788/334/10890/966/2683/10959/1832/22931/51382/10326/9218/10857/84061/57020/945/8778/858/857/5023/5878/8153/1363/10312/9761/5869/8876/9749/6678/4033/81833/84329/976/3071/1621/57826/64753/27180/148229/684/10288/2319/6860/967/64114/10970/5879/7097/50624/6843/11010/121260/3687/11322/7226/6518/963/2212/127833/6622/5066/79930/2040/6836/3708/4718/101/79888/2207/51706/3689/23218/5284/1536/54495/3903/11314/5724/3684/10972/719/160364/326624/4973/6403/374403/5870/9501/5912/10159/161/340061/3916/6402/9725/961/5660/170482/1378/150372/100049587/23601/3690",120
"GO:0000775","chromosome, centromeric region","86/4332","193/19717",1.96146724820156e-12,4.97558858627129e-10,3.78528767196792e-10,"7756/9918/55166/259282/54908/10734/54820/27127/10403/6790/332/7290/79019/9985/9770/2491/80152/11339/5516/5518/64151/57122/7272/1452/8850/1058/4751/1063/3070/348995/91687/11335/64105/55355/23157/55320/151648/6249/1786/891/55143/1783/57082/1062/84643/11004/83540/1060/91272/113130/79980/79682/253635/57405/64946/9184/220134/84295/701/6396/1780/92822/54069/222229/147841/151246/4085/6990/221150/5347/81620/4735/699/157570/51112/27085/10540/9212/55920/26039/9735/10320/5501/54821/1616/1639",86
"GO:0000776","kinetochore","66/4332","135/19717",4.47058637693353e-12,8.50529058211604e-10,6.47058554556169e-10,"7756/55166/259282/54908/54820/10403/332/79019/9985/9770/2491/80152/57122/7272/1452/8850/1058/4751/1063/348995/64105/55355/23157/55320/151648/6249/891/1783/57082/1062/84643/11004/83540/1060/91272/79980/79682/253635/57405/64946/9184/220134/84295/701/6396/1780/92822/222229/147841/151246/4085/6990/221150/5347/81620/4735/699/51112/27085/10540/9212/26039/9735/5501/54821/1639",66
"GO:0000779","condensed chromosome, centromeric region","59/4332","118/19717",1.8519430452738e-11,2.81865731490673e-09,2.14435510505388e-09,"7756/9918/259282/54908/54820/10403/6790/332/79019/9985/9770/80152/64151/57122/1452/1058/4751/1063/348995/11335/64105/55355/23157/55320/151648/891/57082/1062/84643/11004/83540/1060/91272/79980/79682/253635/57405/64946/9184/220134/84295/701/1780/92822/222229/147841/151246/4085/6990/221150/5347/81620/4735/699/9212/26039/9735/5501/54821",59
"GO:0000777","condensed chromosome kinetochore","54/4332","105/19717",3.2612222812853e-11,4.13631692676352e-09,3.14679342931037e-09,"7756/259282/54908/54820/10403/332/79019/9985/9770/80152/57122/1452/1058/4751/1063/348995/64105/55355/23157/55320/151648/891/57082/1062/84643/11004/83540/1060/91272/79980/79682/253635/57405/64946/9184/220134/84295/701/1780/92822/222229/147841/151246/4085/6990/221150/5347/81620/4735/699/26039/9735/5501/54821",54
"GO:0045121","membrane raft","120/4332","315/19717",4.74399097679157e-11,5.15739590476912e-09,3.92360155975243e-09,"8837/5244/920/695/2534/330/30846/7133/999/3937/1495/2824/841/5590/8692/483/4040/490/5566/119/55824/5788/7462/10580/3717/11252/3055/5230/3356/1445/3551/25999/973/858/857/657/5023/5573/9368/867/6404/84830/868/200576/7535/1820/7143/11315/914/962/356/2185/6385/2770/59272/83483/684/2319/4038/1910/7097/5045/8631/351/8915/481/7851/79054/2040/3688/10666/9472/2697/925/1525/3098/931/909/3689/476/836/6469/10395/6778/1398/8436/3635/64805/3684/10287/5621/10855/4973/1605/7096/10333/153129/3738/930/284119/91663/9495/55600/2149/5912/6517/302/3932/23621/130574/199920/120892/4641/84433/9289/27040/2013/1241/7124/4067",120
"GO:0098857","membrane microdomain","120/4332","316/19717",6.01246235429963e-11,5.71935481452753e-09,4.35112407219053e-09,"8837/5244/920/695/2534/330/30846/7133/999/3937/1495/2824/841/5590/8692/483/4040/490/5566/119/55824/5788/7462/10580/3717/11252/3055/5230/3356/1445/3551/25999/973/858/857/657/5023/5573/9368/867/6404/84830/868/200576/7535/1820/7143/11315/914/962/356/2185/6385/2770/59272/83483/684/2319/4038/1910/7097/5045/8631/351/8915/481/7851/79054/2040/3688/10666/9472/2697/925/1525/3098/931/909/3689/476/836/6469/10395/6778/1398/8436/3635/64805/3684/10287/5621/10855/4973/1605/7096/10333/153129/3738/930/284119/91663/9495/55600/2149/5912/6517/302/3932/23621/130574/199920/120892/4641/84433/9289/27040/2013/1241/7124/4067",120
"GO:0098687","chromosomal region","129/4332","349/19717",9.64849722774794e-11,8.15834043368465e-09,6.20663564358055e-09,"7756/9918/4361/55166/259282/54908/5888/10734/6672/54820/4175/27127/10403/4998/6790/332/7290/79019/4174/9985/9770/23347/2491/80152/11339/5516/4173/5518/2146/54780/2145/64151/57122/7272/1452/8850/1058/4751/1063/3070/348995/91687/55791/11335/64105/1017/55355/23157/7517/55320/7011/151648/6249/1786/3021/4221/891/79577/55143/1783/57082/1763/1062/79035/675/80119/84643/55135/11004/83540/142/1060/91272/113130/472/79980/79682/253635/57405/64421/64946/9184/220134/84295/701/6396/1780/92822/54069/222229/147841/79677/151246/80335/4085/7015/6990/221150/4176/5347/114785/81620/8290/4735/699/983/157570/51112/27085/64859/3981/545/10540/80169/9212/55920/11200/26039/9735/10320/5501/54821/51547/84464/641/29935/1616/1639/493861",129
"GO:0098589","membrane region","122/4332","328/19717",1.95893013554986e-10,1.49074583315344e-08,1.13411744689729e-08,"8837/5244/920/695/2534/330/30846/7133/999/3937/1495/2824/841/5590/8692/483/4040/490/5566/119/55824/5788/7462/10580/3717/11252/3055/5230/3356/1445/3551/25999/973/858/857/657/5023/5573/9368/867/6404/84830/868/200576/7535/1820/7143/11315/914/962/356/81833/2185/6385/2770/59272/83483/684/2319/4038/1910/7097/5045/8631/351/8915/481/7851/79054/2040/3688/10666/9472/2697/925/1525/3098/931/909/3689/476/836/6469/10395/6778/1398/8436/3635/64805/3684/10287/5621/10855/4973/1605/7096/10333/153129/3738/930/284119/91663/9495/55600/2149/5912/6517/302/3932/23621/130574/199920/120892/4641/84433/9289/23636/27040/2013/1241/7124/4067",122
